"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"36","1BSsv8bVGdxyvW0NPiZy1A",0.736,0.659,8,-6.509,1,0.0373,0.104,0.00141,0.147,0.538,97.953,180581,4,"spotify:track:1BSsv8bVGdxyvW0NPiZy1A","https://api.spotify.com/v1/audio-analysis/1BSsv8bVGdxyvW0NPiZy1A"
"37","1anxoJyGm5QOWpPtDkXIfc",0.855,0.58,1,-8.925,0,0.117,0.647,0.000402,0.11,0.391,129.917,299091,4,"spotify:track:1anxoJyGm5QOWpPtDkXIfc","https://api.spotify.com/v1/audio-analysis/1anxoJyGm5QOWpPtDkXIfc"
"38","58aGvhMxUHn88sbJpirQ1T",0.734,0.675,5,-5.611,0,0.249,0.741,3.93e-05,0.117,0.817,102.153,198268,4,"spotify:track:58aGvhMxUHn88sbJpirQ1T","https://api.spotify.com/v1/audio-analysis/58aGvhMxUHn88sbJpirQ1T"
"39","2rb5MvYT7ZIxbKW5hfcHx8",0.543,0.677,11,-4.915,0,0.0993,0.0148,6.21e-06,0.13,0.294,103.809,189440,4,"spotify:track:2rb5MvYT7ZIxbKW5hfcHx8","https://api.spotify.com/v1/audio-analysis/2rb5MvYT7ZIxbKW5hfcHx8"
"40","0cJ7GPiXfc6nF8gkJHnDu9",0.56,0.414,10,-7.625,0,0.0254,0.878,0.00724,0.0811,0.248,81.026,229960,4,"spotify:track:0cJ7GPiXfc6nF8gkJHnDu9","https://api.spotify.com/v1/audio-analysis/0cJ7GPiXfc6nF8gkJHnDu9"
"41","3SiNhRfBah30npNwyaoS22",0.653,0.581,7,-9.164,1,0.0436,0.279,0,0.25,0.735,87.003,215172,4,"spotify:track:3SiNhRfBah30npNwyaoS22","https://api.spotify.com/v1/audio-analysis/3SiNhRfBah30npNwyaoS22"
"42","1EPgODCdz5rApl9naW8Q2r",0.652,0.934,2,-5.92,0,0.0835,0.0167,0,0.107,0.579,127.01,252009,4,"spotify:track:1EPgODCdz5rApl9naW8Q2r","https://api.spotify.com/v1/audio-analysis/1EPgODCdz5rApl9naW8Q2r"
"43","3hBBKuWJfxlIlnd9QFoC8k",0.795,0.615,5,-5.211,0,0.0671,0.0786,2.98e-06,0.0855,0.393,110.009,199849,4,"spotify:track:3hBBKuWJfxlIlnd9QFoC8k","https://api.spotify.com/v1/audio-analysis/3hBBKuWJfxlIlnd9QFoC8k"
"44","0GdTnku9cg03CkrJYwHuk3",0.66,0.707,7,-9.096,1,0.0526,0.0943,0.000769,0.0834,0.736,121.008,249174,4,"spotify:track:0GdTnku9cg03CkrJYwHuk3","https://api.spotify.com/v1/audio-analysis/0GdTnku9cg03CkrJYwHuk3"
"45","32DGGj6KlNuBr6WaqRxpxi",0.849,0.581,1,-5.243,0,0.0767,0.189,3.61e-06,0.0805,0.779,110.008,198237,4,"spotify:track:32DGGj6KlNuBr6WaqRxpxi","https://api.spotify.com/v1/audio-analysis/32DGGj6KlNuBr6WaqRxpxi"
"46","2jP6roPokls61urF4ggwdF",0.299,0.572,2,-8.555,1,0.037,0.0449,2.14e-06,0.16,0.2,103.845,195698,3,"spotify:track:2jP6roPokls61urF4ggwdF","https://api.spotify.com/v1/audio-analysis/2jP6roPokls61urF4ggwdF"
"47","3EfugazgSddQvzZpkof5I4",0.698,0.882,4,-3.078,0,0.0863,0.127,0,0.15,0.445,106.083,200105,4,"spotify:track:3EfugazgSddQvzZpkof5I4","https://api.spotify.com/v1/audio-analysis/3EfugazgSddQvzZpkof5I4"
"48","2j69gw8fSyTDksf3glQaCH",0.652,0.508,0,-11.916,0,0.0308,0.234,0.532,0.144,0.222,92.96,276000,4,"spotify:track:2j69gw8fSyTDksf3glQaCH","https://api.spotify.com/v1/audio-analysis/2j69gw8fSyTDksf3glQaCH"
"49","3cFsmM51N5zMAuu1nNY4Tw",0.741,0.891,7,-2.824,1,0.119,0.0437,0,0.256,0.449,102.002,221176,4,"spotify:track:3cFsmM51N5zMAuu1nNY4Tw","https://api.spotify.com/v1/audio-analysis/3cFsmM51N5zMAuu1nNY4Tw"
"50","3SqvR3HYLlCTYzbDXJ52OC",0.433,0.724,5,-6.126,0,0.0372,0.1,0,0.0918,0.689,174.006,268105,4,"spotify:track:3SqvR3HYLlCTYzbDXJ52OC","https://api.spotify.com/v1/audio-analysis/3SqvR3HYLlCTYzbDXJ52OC"
"51","6VpQdig9pdpTSIFItgkJV5",0.643,0.709,0,-4.343,1,0.0733,0.145,0.000449,0.115,0.264,129.961,227088,4,"spotify:track:6VpQdig9pdpTSIFItgkJV5","https://api.spotify.com/v1/audio-analysis/6VpQdig9pdpTSIFItgkJV5"
"52","2QD387ZxhUxTJQYLe11w9D",0.707,0.712,7,-5.564,0,0.0471,0.378,0,0.0862,0.408,126.008,191628,4,"spotify:track:2QD387ZxhUxTJQYLe11w9D","https://api.spotify.com/v1/audio-analysis/2QD387ZxhUxTJQYLe11w9D"
"53","2QD387ZxhUxTJQYLe11w9D",0.707,0.712,7,-5.564,0,0.0471,0.378,0,0.0862,0.408,126.008,191628,4,"spotify:track:2QD387ZxhUxTJQYLe11w9D","https://api.spotify.com/v1/audio-analysis/2QD387ZxhUxTJQYLe11w9D"
"54","2QD387ZxhUxTJQYLe11w9D",0.707,0.712,7,-5.564,0,0.0471,0.378,0,0.0862,0.408,126.008,191628,4,"spotify:track:2QD387ZxhUxTJQYLe11w9D","https://api.spotify.com/v1/audio-analysis/2QD387ZxhUxTJQYLe11w9D"
