"""id"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""duration_ms"",""time_signature"",""Y۱l"",""Enerjisi"""
"154,""3O2MsMZHCgSbRGEca5ML1N"",0.821,0.513,7,-5.388,1,0.0436,0.0802,0,0.067,0.308,90.008,172153,4,2015,""Low Enerjic"""
"155,""0yaAFfayze82aoCTY2cxd7"",0.702,0.843,10,-2.403,1,0.145,0.0859,0,0.151,0.586,106.095,203339,4,2015,""Energic"""
"156,""1CM0HC2WnIVCo8eYSh3yRW"",0.277,0.315,1,-8.591,0,0.0305,0.778,0,0.167,0.129,143.631,225874,4,2015,""Low Enerjic"""
"157,""4pCBCEWeBGJxdRWqT8GQkY"",0.659,0.751,1,-7.088,0,0.0603,0.093,0,0.0993,0.578,115.021,179851,4,2015,""Low Enerjic"""
"158,""0RSkLhxAc601EgeKkyXNVB"",0.626,0.835,7,-5.059,0,0.0451,0.377,1.19e-06,0.39,0.699,138.031,179130,4,2015,""Energic"""
"159,""0Es5TMIKrTH3bLf0wk0sut"",0.479,0.786,4,-4.404,0,0.098,0.00465,0,0.377,0.502,79.131,204209,4,2015,""Energic"""
"160,""0vd5hX3F87gbfH2mIZJjlr"",0.566,0.797,9,-5.894,0,0.0554,0.106,0,0.205,0.531,155.035,185674,4,2015,""Energic"""
"161,""6Bcf7gRrDgWEZCJzeS26XS"",0.326,0.372,3,-9.466,1,0.0309,0.543,0,0.107,0.436,180.654,182393,1,2015,""Low Enerjic"""
"162,""3XhbPuJJG3MlAP2exjHoVy"",0.483,0.672,2,-5.137,1,0.04,0.0602,4.51e-05,0.306,0.194,106.232,179220,4,2015,""Low Enerjic"""
"163,""6Vsw92xvDmHT4OePNoVCZ4"",0.571,0.562,4,-6.062,1,0.026,0.485,0,0.13,0.158,98.017,179955,4,2015,""Low Enerjic"""
"164,""2J6acmdFTJM24N3gdkXg6k"",0.563,0.803,3,-8.776,1,0.0447,0.00109,0,0.0822,0.225,131.016,182000,4,2015,""Energic"""
"165,""1sRUB6sgbgXjDTRlMn5G76"",0.242,0.621,2,-7.358,0,0.039,0.157,0,0.427,0.31,175.936,167794,4,2015,""Low Enerjic"""
"166,""3QeIjbfwqVg9xwEKoxzfbN"",0.335,0.641,1,-6.824,1,0.0404,0.153,0.000189,0.177,0.134,81.927,176187,4,2015,""Low Enerjic"""
"167,""2zHDsCjQGp7XqsqrrNR9t9"",0.44,0.676,3,-5.04,0,0.0329,0.16,1.05e-05,0.112,0.0876,126.866,184640,4,2015,""Low Enerjic"""
"168,""5CIcf1jodSZ7ckWIFqw1q7"",0.604,0.86,1,-4.464,1,0.0905,0.00341,9.67e-05,0.198,0.797,172.065,192610,4,2015,""Energic"""
"169,""4HtQzcTI6wh3Xjj4fAzz2l"",0.751,0.807,0,-4.431,1,0.0577,0.0271,0,0.0774,0.74,117.014,168901,4,2015,""Energic"""
"170,""1WwIqLv8716t8vNb44mp1R"",0.534,0.494,9,-5.858,0,0.0287,0.746,0,0.136,0.233,126.164,180653,4,2015,""Low Enerjic"""
"171,""69lMeHeBoAkekQZROdMam2"",0.52,0.499,1,-5.716,1,0.025,0.309,3.01e-06,0.104,0.245,82.793,180714,4,2015,""Low Enerjic"""
"172,""6PruiyHcWU9wbgH4cKPIV4"",0.59,0.608,0,-9.13,1,0.0331,0.418,0,0.0872,0.373,120.065,182427,4,2015,""Low Enerjic"""
"173,""6blg0qHCVx36QDBGmWpy7M"",0.564,0.84,7,-3.928,0,0.0388,0.0989,0,0.268,0.513,129.941,184385,4,2015,""Energic"""
"174,""5tnirfLr1ePUkBo9t8O6sB"",0.334,0.185,2,-11.122,1,0.033,0.81,0,0.163,0.203,174.43,179712,3,2015,""Low Enerjic"""
"175,""6gHVLO8022RixiK0sS1XhK"",0.626,0.603,4,-6.221,0,0.042,0.0817,0,0.0973,0.338,139.805,182451,4,2015,""Low Enerjic"""
"176,""4KZ3NeO2f2wFHpgKNoTomR"",0.556,0.487,0,-6.426,1,0.0271,0.29,3.63e-05,0.311,0.224,78.551,180561,3,2015,""Low Enerjic"""
"177,""2HNAM0vurI7vKAYHu1Bz2t"",0.271,0.609,8,-7.029,1,0.0462,0.101,3.06e-05,0.297,0.456,194.086,179994,4,2015,""Low Enerjic"""
"178,""6NcwcSoymgNM126a6WwbZX"",0.445,0.812,8,-5.049,1,0.0431,0.0276,0,0.148,0.865,206.003,180872,4,2015,""Energic"""
"179,""1kG3N1BIMus3niKinXFtYX"",0.407,0.796,8,-4.061,1,0.0659,0.0872,5.23e-06,0.234,0.211,76.974,179669,4,2015,""Energic"""
"180,""4ShpIr6hkyVovIEFqKxjB8"",0.627,0.786,6,-4.431,1,0.0487,0.527,0,0.053,0.691,77,181324,4,2015,""Energic"""
"181,""2RMutLjWmSfMyyHNPT1qJH"",0.33,0.181,2,-10.579,1,0.0354,0.839,0,0.18,0.238,174.051,184520,3,2015,""Low Enerjic"""
"182,""6tjQmssYRxz7kVdDee0NBL"",0.534,0.718,0,-4.061,1,0.0296,0.0313,0,0.239,0.701,124.982,185613,4,2015,""Low Enerjic"""
"183,""0z3UNXI7HBMpAX7p8xg2pu"",0.487,0.81,6,-3.687,1,0.0423,0.244,0.0108,0.495,0.417,171.785,183027,4,2015,""Energic"""
"184,""68d6dy8LNAHlocbd4ecu1o"",0.382,0.535,7,-8.004,1,0.0305,0.0403,0,0.121,0.23,148.143,185962,4,2015,""Low Enerjic"""
"185,""6w0LeIgIaWXbQ5VzshVLwI"",0.508,0.284,7,-11.236,0,0.0551,0.0415,0.000846,0.142,0.145,108.116,180000,4,2015,""Low Enerjic"""
"186,""7yU7FlMnnLHEnOVxMmQLCQ"",0.458,0.909,5,-4.045,0,0.0927,0.008,3.34e-05,0.216,0.362,141.029,182126,4,2015,""High Energic"""
"187,""60FcGPWkPbbO0mZxev1U0l"",0.59,0.727,10,-6.948,0,0.0392,0.0424,0,0.363,0.485,128.982,179105,4,2015,""Low Enerjic"""
"188,""37Iemq844Q9wKENnwbFtWe"",0.302,0.731,9,-8.544,0,0.186,0.0187,0,0.243,0.377,150.018,186306,4,2015,""Low Enerjic"""
"189,""6vMT4GiSXUGT8BREYQgps7"",0.328,0.45,6,-10.361,0,0.0306,0.532,0,0.106,0.229,95.08,182861,4,2015,""Low Enerjic"""
"190,""2CpDzAchbGIRXekXOpzlbH"",0.493,0.4,2,-8.323,0,0.025,0.243,0,0.0974,0.234,91.999,184891,3,2015,""Low Enerjic"""
"191,""719i2VpCO6JVcc8N1t1OtF"",0.445,0.542,7,-7.773,1,0.0333,0.026,0,0.368,0.244,121.058,180478,3,2015,""Low Enerjic"""
"192,""5hK2qQLU9zniq7EffyFGlL"",0.521,0.539,1,-9.779,0,0.0288,0.036,1.64e-06,0.169,0.111,111.47,179950,4,2015,""Low Enerjic"""
"193,""46L52uicKFc4dP8mp2pNIP"",0.4,0.715,8,-7.959,1,0.0393,0.00381,0,0.156,0.76,205.848,180872,4,2015,""Low Enerjic"""
"194,""5xdda4IGfQq98QnCsNW4eZ"",0.346,0.645,8,-7.826,1,0.0477,0.00877,0,0.292,0.231,152.348,179669,4,2015,""Low Enerjic"""
"195,""0tBUd6UyIMfV29IdD1sEpT"",0.554,0.868,9,-3.875,1,0.0378,0.0184,0,0.18,0.346,135.076,183147,4,2014,""High Energic"""
"196,""2l75XRzIrKfAZ4cE7VW6fo"",0.587,0.652,6,-5.717,1,0.0331,0.187,0,0.0949,0.422,90.245,181733,4,2014,""Low Enerjic"""
"197,""164K5E7hbZlS2HprdV4NAD"",0.679,0.877,4,-5.363,0,0.217,0.304,0,0.387,0.624,155.936,190924,4,2014,""High Energic"""
"198,""0fvafkeEoF6Y9gGLK3Wnu3"",0.426,0.45,2,-8.91,0,0.0252,0.0791,0,0.127,0.208,82.107,181990,4,2014,""Low Enerjic"""
"199,""1LMUArwQoJRXXkppeGV10D"",0.395,0.618,0,-7.117,0,0.0377,0.0247,0.000632,0.116,0.0729,140.065,183213,4,2014,""Low Enerjic"""
"200,""3HTQzNjeKAIxtF6tntuV2s"",0.774,0.867,8,-3.41,1,0.0608,0.0668,0,0.0577,0.729,111.99,181675,4,2014,""High Energic"""
"201,""0r9VSL7mGjmb4TwUglCLcr"",0.697,0.887,6,-4.038,0,0.0387,0.0104,0.000315,0.0479,0.719,124.976,183040,4,2014,""High Energic"""
"202,""1e7hVISj3bDzGrknIRJCA0"",0.537,0.583,8,-5.599,1,0.0331,0.265,0,0.0706,0.557,151.952,184613,3,2014,""Low Enerjic"""
"203,""2kli84TSRXN5XoGsY75Nan"",0.395,0.618,0,-7.117,0,0.0377,0.0247,0.000632,0.116,0.0729,140.065,183213,4,2014,""Low Enerjic"""
"204,""2KqrsypJqXIKDentWkQu0J"",0.246,0.526,2,-6.363,0,0.0322,0.1,0,0.119,0.207,80.986,182933,4,2014,""Low Enerjic"""
"205,""0VbkuPm16enpcwPw5uALYq"",0.323,0.312,11,-7.351,0,0.0326,0.843,0,0.101,0.31,74.745,181947,3,2014,""Low Enerjic"""
"206,""63tq1qB7VRfA2wBNuB1Xtl"",0.502,0.337,4,-8.104,0,0.0295,0.867,0,0.0888,0.25,72.862,182360,4,2014,""Low Enerjic"""
"207,""5pALUcsHsRsFl55w2Cnumt"",0.808,0.813,1,-4.063,0,0.063,0.16,0,0.0294,0.89,95.008,179467,4,2014,""Energic"""
"208,""68lO4YsBnxihBFiA0WARHJ"",0.565,0.882,4,-4.48,0,0.0695,0.14,9.85e-06,0.101,0.907,176.956,185520,4,2014,""High Energic"""
"209,""18kAqShskuAKN0fFo18DyH"",0.759,0.693,7,-6.13,0,0.0886,0.252,0,0.372,0.823,132.089,181600,4,2014,""Low Enerjic"""
"210,""0h0hZdvLGdQwpR8FUQMVue"",0.787,0.852,8,-3.737,1,0.0592,0.0561,0,0.0418,0.669,111.983,183827,4,2014,""Energic"""
"211,""7nHZygGL08cyziMy3i6wqd"",0.536,0.852,5,-5.414,0,0.0524,0.0288,0,0.131,0.397,128.033,184293,4,2014,""Energic"""
"212,""0q3qA8OGpzu6RluxLGA71x"",0.605,0.66,0,-6.85,1,0.0372,0.675,3.19e-05,0.113,0.433,129.938,174187,4,2014,""Low Enerjic"""
"213,""6XFyhqbEGeoO1xswBCnKKF"",0.556,0.867,0,-6.326,1,0.0476,0.00056,0,0.113,0.377,146.048,182507,4,2014,""High Energic"""
"214,""5XikhFoJEvwYWEcZbeYEeQ"",0.685,0.846,3,-8.026,0,0.0419,0.00978,1.08e-05,0.0996,0.849,127.987,171227,4,2014,""Energic"""
"215,""7KxQjUoKu9chCcN6cpHLrm"",0.558,0.739,6,-3.81,1,0.0504,0.165,0.000171,0.292,0.417,140.07,182947,4,2014,""Low Enerjic"""
"216,""1eVJ6Mke1dKBGxFXELqM6Y"",0.563,0.731,9,-6.438,1,0.0512,0.194,0,0.379,0.574,76.088,180427,4,2014,""Low Enerjic"""
"217,""2oFmGjyOGefQ6Af2ysnDfQ"",0.672,0.813,0,-5.612,0,0.0587,0.0372,0,0.319,0.614,127.972,184133,4,2014,""Energic"""
"218,""5BRhhQJkfmW0rhXa3zWWIN"",0.589,0.63,10,-6.546,0,0.0312,0.0923,0,0.0867,0.373,90.066,182627,4,2014,""Low Enerjic"""
"219,""2v97ToeLY1nEiMJLnAM4MV"",0.685,0.836,0,-3.55,1,0.0324,0.279,0,0.0884,0.769,119.994,185320,4,2014,""Energic"""
"220,""379KepiioggdYFJJFriwVp"",0.632,0.88,11,-5.341,0,0.0461,0.089,0,0.13,0.452,124.037,179120,4,2014,""High Energic"""
"221,""0i4O8Zr6gOS0f6AYRCeOLx"",0.698,0.93,7,-4.348,1,0.0891,0.102,0,0.255,0.735,108.095,165347,4,2014,""High Energic"""
"222,""350dvo9iFYC94Xt81ArQvY"",0.597,0.921,9,-4.03,0,0.0338,0.104,0,0.139,0.849,135.985,184720,4,2014,""High Energic"""
"223,""1WhizSxniuzqVvrHt909sY"",0.548,0.954,1,-4.743,0,0.0756,0.0979,0,0.186,0.157,74.971,173453,4,2014,""High Energic"""
"224,""5Qd68IgarqOFsNiLoKudmu"",0.711,0.625,6,-8.612,1,0.0482,0.437,1.21e-05,0.121,0.788,98.518,181387,4,2014,""Low Enerjic"""
"225,""5jGzOHFqzgyhxdFWZRxRaR"",0.59,0.735,2,-4.508,0,0.0444,0.0901,0,0.241,0.122,139.995,182000,4,2014,""Low Enerjic"""
"226,""2F3XmCWLT2MGL0IVUfO5CP"",0.17,0.598,0,-5.577,0,0.0429,0.184,0,0.0859,0.232,47.054,185240,4,2014,""Low Enerjic"""
"227,""3vp4Ai05zle4jOd73MxVj7"",0.574,0.865,1,-3.949,0,0.0474,0.00127,0,0.0794,0.729,127.977,193640,4,2014,""High Energic"""
"228,""6SD2vb3rBiRb3sSYNLHqWk"",0.496,0.816,1,-3.563,1,0.0409,0.027,4.99e-06,0.035,0.263,128.101,179387,4,2014,""Energic"""
"229,""6IXHfHv83TGf2J7X0k111B"",0.702,0.354,6,-11.425,1,0.0328,0.577,0.274,0.11,0.42,116.029,186827,4,2014,""Low Enerjic"""
"230,""5CO3m9j0nBEok1XrdSYUR3"",0.303,0.214,9,-9.893,1,0.0413,0.86,2.39e-05,0.103,0.213,73.678,177947,3,2014,""Low Enerjic"""
"231,""6N4wJ4PQ6wuMQ0o6BB7Goh"",0.692,0.829,7,-4.858,1,0.154,0.29,1.08e-06,0.366,0.649,156.028,179080,4,2014,""Energic"""
"232,""1oCkSYgHhVjetJyFXGy0jc"",0.746,0.918,0,-4.423,1,0.0467,0.153,0.000626,0.129,0.892,130.025,181853,4,2014,""High Energic"""
"233,""7sMNPesOk3HjzpBrNWH3W7"",0.642,0.834,4,-5.59,0,0.0319,0.144,0,0.0723,0.742,119.993,186080,4,2014,""Energic"""
"234,""4VMa2QVWFDgJyh6rVA3reO"",0.582,0.408,6,-6.658,1,0.0377,0.447,0,0.101,0.284,121.911,187267,4,2014,""Low Enerjic"""
"235,""5BprleVCAECeHsE4IfXYfE"",0.558,0.879,9,-3.869,1,0.0403,0.0181,0,0.109,0.325,135.051,184773,4,2014,""High Energic"""
"236,""2Z7hewbsty1juz2S1qltoV"",0.529,0.677,8,-4.759,1,0.0294,0.0195,0,0.205,0.323,120.008,182280,4,2014,""Low Enerjic"""
"237,""5yLUCQLj75yyIKfpAzdhNZ"",0.555,0.762,7,-4.528,0,0.0418,0.482,0,0.375,0.228,114.28,185013,4,2014,""Energic"""
"238,""3uayMUYqOcJDGC2Tvk1j45"",0.58,0.725,2,-5.283,1,0.0632,0.0533,0,0.369,0.443,97.959,218960,4,2014,""Low Enerjic"""
"239,""5QLqrMhJSM4GZaR1CX13Wo"",0.563,0.834,9,-4.686,0,0.0607,0.0951,0,0.254,0.44,110.978,182893,4,2013,""Energic"""
"240,""5p6Nmu8L3ZMO2eNyWzFAyC"",0.341,0.95,11,-4.37,0,0.393,0.00441,0.000205,0.611,0.379,192.138,181387,4,2013,""High Energic"""
"241,""5klQSk2bLb0U3vnvGJUZf4"",0.556,0.632,6,-4.438,1,0.0359,0.196,0,0.114,0.152,126.03,218893,4,2013,""Low Enerjic"""
"242,""1xRlV9v2HJzZvDaGKQMCuz"",0.559,0.863,7,-5.029,0,0.0631,0.00317,9.34e-06,0.336,0.308,127.966,207594,4,2013,""Energic"""
"243,""0ViX8UyyTD13xouZSGIRa1"",0.527,0.834,8,-5.203,1,0.064,0.00576,0,0.191,0.382,127.99,180013,4,2013,""Energic"""
"244,""0h5MGwh2LnHeHNyefargns"",0.257,0.382,11,-7.528,1,0.0306,0.727,0,0.129,0.123,127.476,181107,3,2013,""Low Enerjic"""
"245,""3JjKteomTW8lCrowYkvknR"",0.466,0.687,6,-6.551,1,0.0354,0.0146,0,0.178,0.364,132.126,180907,4,2013,""Low Enerjic"""
"246,""2wKxsDSrC68PNLf9WKIrfg"",0.593,0.673,8,-5.645,1,0.0266,0.254,0.000264,0.114,0.375,132.023,181493,4,2013,""Low Enerjic"""
"247,""39iZu3AG9yEf27298yUDLx"",0.722,0.664,9,-7.048,1,0.0307,0.705,0,0.155,0.728,100.016,180160,4,2013,""Low Enerjic"""
"248,""24L1pmTHNPAloc3xVXQx1D"",0.689,0.715,2,-2.476,0,0.0316,0.678,0,0.163,0.359,127.961,183707,4,2013,""Low Enerjic"""
"249,""2oLSfsQWs9ON42sKJyhPpq"",0.616,0.693,6,-6.469,1,0.0403,0.0966,0,0.145,0.536,125.956,182813,4,2013,""Low Enerjic"""
"250,""3Rnz5JsDHMrP7XsVWaAVNm"",0.348,0.849,3,-4.563,0,0.0928,0.42,0,0.0958,0.531,151.425,176933,3,2013,""Energic"""
"251,""7nMmrdSajIdGEJYTloT9DU"",0.606,0.7,11,-4.923,0,0.0366,0.0223,2.08e-06,0.51,0.406,128.024,181573,4,2013,""Low Enerjic"""
"252,""7y07vR4aqGH79kEqrR0soN"",0.46,0.674,9,-5.937,1,0.0325,0.189,0,0.304,0.314,75.068,184973,4,2013,""Low Enerjic"""
"253,""0v9qJ3fV5qMc8kb3tPykxa"",0.574,0.91,10,-4.831,1,0.053,0.0488,0,0.135,0.277,124.962,185173,4,2013,""High Energic"""
"254,""1aEM4vncMv6kjVGlFnand5"",0.754,0.786,8,-2.715,1,0.255,0.0438,0,0.0791,0.676,130.118,174120,4,2013,""Energic"""
"255,""0RepG3Y0tJz5os8h38xkaD"",0.595,0.945,5,-3.13,1,0.0502,0.00615,0,0.164,0.713,100.04,175533,4,2013,""High Energic"""
"256,""3Lzu30pl3Zq88PdXCQsjfC"",0.676,0.606,5,-8.461,1,0.0301,0.0192,0.0257,0.119,0.666,129.969,186707,4,2013,""Low Enerjic"""
"257,""6khm3KiTNl3yoyZWqvhxrn"",0.48,0.349,4,-8.702,1,0.0261,0.508,0,0.106,0.346,74.867,181707,4,2013,""Low Enerjic"""
"258,""42LRyx78NTIxhLqiJn9T7h"",0.599,0.8,10,-3.609,0,0.0507,0.456,0,0.505,0.313,105.101,179933,4,2013,""Energic"""
"259,""0jiCG5Bk4bo4SHyTP5sUIR"",0.657,0.638,5,-7.127,1,0.0659,0.438,0,0.155,0.564,171.786,187000,4,2013,""Low Enerjic"""
"260,""0nbkFxLZyA1TbLkVHLo1zY"",0.506,0.555,6,-6.892,1,0.0301,0.382,4.86e-05,0.145,0.275,102.1,180013,4,2013,""Low Enerjic"""
"261,""10qLaDfdaLTN14Z29guHBD"",0.57,0.911,2,-4.317,0,0.0403,0.00747,0,0.0385,0.861,171.978,174787,4,2013,""High Energic"""
"262,""7IJrsaXy9L1WaYzrUK9QcX"",0.375,0.672,2,-5.56,1,0.0299,0.029,0,0.39,0.238,79.881,187667,4,2013,""Low Enerjic"""
"263,""3lklWyWt4EIBZWND3hsmHu"",0.674,0.615,1,-4.889,0,0.0268,0.00971,0,0.384,0.362,89.983,178693,4,2013,""Low Enerjic"""
"264,""3kcbfGJdqzoxF098yzAFcL"",0.784,0.845,5,-6.424,0,0.169,0.0106,0,0.436,0.679,142.964,179987,4,2013,""Energic"""
"265,""2lwNvxRKImJsl7Tbqcv2VK"",0.454,0.542,8,-7.159,1,0.032,0.0276,0.000216,0.0755,0.361,151.729,185613,4,2013,""Low Enerjic"""
"266,""0wGpwgpIPRic7TEFD0U2Cy"",0.491,0.561,5,-6.734,1,0.0275,0.359,0,0.123,0.335,78.034,181173,4,2013,""Low Enerjic"""
"267,""4L3uCjSx1Rog58X4Ptj05Y"",0.429,0.493,0,-6.284,1,0.0414,0.598,0,0.351,0.398,128.123,179973,4,2013,""Low Enerjic"""
"268,""6ALgDMIP8fS4fldDdlU9QQ"",0.567,0.701,8,-4.241,0,0.0326,0.000782,0,0.034,0.692,133.89,174907,4,2013,""Low Enerjic"""
"269,""3U2U7o7LCuMR3GdRS8dofW"",0.811,0.91,6,-4.773,0,0.0502,0.0231,0.00166,0.265,0.605,94.989,179053,4,2013,""High Energic"""
"270,""6He6QpNeeBLApE0HaOjZBW"",0.639,0.941,9,-5.179,0,0.0853,0.00509,8.54e-05,0.068,0.742,130.016,179773,4,2013,""High Energic"""
"271,""1176Ga8Qwqlcx0ZfaVSj9R"",0.514,0.781,10,-3.592,0,0.0288,0.0128,0,0.188,0.288,90.019,174587,4,2013,""Energic"""
"272,""7jYQ3USqY6qbGwF1faOAgE"",0.518,0.64,11,-4.789,0,0.0317,0.116,0,0.0959,0.341,82.023,180573,4,2013,""Low Enerjic"""
"273,""43aTvR7mdUlxIOOqJetyH4"",0.332,0.854,11,-6.415,1,0.0424,0.000691,5.86e-05,0.39,0.349,160.141,184653,4,2013,""Energic"""
"274,""5tl6hpAme7TmBnweESURZ5"",0.551,0.832,4,-4.701,1,0.0306,0.00542,0,0.118,0.712,105.032,181173,4,2013,""Energic"""
"275,""7ol1CVOYISQsQmi2uW16kh"",0.541,0.834,0,-5.258,0,0.0663,0.00498,0,0.191,0.355,128.012,180000,4,2013,""Energic"""
"276,""5ZccXZwWJzQl0VC7NvJXYa"",0.575,0.794,2,-3.222,0,0.0325,0.117,0,0.266,0.395,133.943,180987,4,2013,""Energic"""
"277,""18pMdRLP0ce0aJDuzVgf4j"",0.508,0.912,11,-4.945,0,0.088,0.205,0,0.127,0.536,134.983,180013,4,2013,""High Energic"""
"278,""0jeJYwlSt2SrTaL00aVgrO"",0.387,0.79,0,-3.881,1,0.0762,0.518,0,0.191,0.422,176.062,179773,4,2013,""Energic"""
"279,""7mjNGQcLwp5cVKCPWskCr5"",0.167,0.407,11,-8.262,1,0.0324,0.614,0,0.112,0.0922,85.474,203027,4,2013,""Low Enerjic"""
"280,""0FyoA6hNmCcGN5JKx8Rddp"",0.464,0.681,6,-6.572,1,0.0347,0.0113,0,0.171,0.347,132.161,180893,4,2013,""Low Enerjic"""
"281,""3TWK8lq7oFPaKD1YkR1zdO"",0.547,0.758,11,-4.74,0,0.0419,0.139,2.63e-05,0.292,0.444,132.036,179693,4,2012,""Low Enerjic"""
"282,""6yZJQZ9rcLfwwRGfSLEyuk"",0.672,0.861,0,-4.836,0,0.106,0.205,0,0.338,0.664,126.013,171947,4,2012,""Energic"""
"283,""0XXspLhiojqjCgqr8bQanA"",0.221,0.477,1,-6.086,0,0.0394,0.794,0,0.114,0.314,75.039,182440,1,2012,""Low Enerjic"""
"284,""1w2jm6QteAq3qw9xAYSe2W"",0.224,0.591,1,-4.425,0,0.0332,0.605,2.38e-05,0.433,0.303,184.842,179995,3,2012,""Low Enerjic"""
"285,""28a6fdxQ5BaZu56dm4qFwC"",0.7,0.958,4,-5.145,1,0.0687,0.177,0,0.719,0.621,101.972,181933,4,2012,""High Energic"""
"286,""3rhnT5RoN7bvPUpMHt1aM9"",0.725,0.832,9,-2.961,1,0.0486,0.0568,0,0.183,0.647,131.038,182733,4,2012,""Energic"""
"287,""40sYYZZN8BLWs8Qmwamngw"",0.336,0.734,0,-3.679,0,0.0341,0.135,0,0.047,0.477,101.393,180403,3,2012,""Low Enerjic"""
"288,""1jakNe5DxSDUZ3KerjSGjr"",0.651,0.898,4,-2.641,0,0.0387,0.00356,1.01e-05,0.35,0.914,109.985,179560,4,2012,""High Energic"""
"289,""7cpOKiJAbRLvmMJdzckE3Y"",0.664,0.856,7,-4.247,0,0.0571,0.106,0,0.214,0.6,107.044,186149,4,2012,""Energic"""
"290,""1Wx9FNbUsdjD5xozSPgV7T"",0.646,0.795,11,-3.222,1,0.0472,0.00351,0,0.17,0.501,140.018,179653,4,2012,""Energic"""
"291,""6fOHMFOLJ5G0EiSVliPhJf"",0.58,0.786,10,-4.864,1,0.0332,0.00434,0,0.105,0.7,136.95,183520,4,2012,""Energic"""
"292,""2EMatUZHGgDWHCTysxZ8nP"",0.607,0.905,5,-3.085,0,0.107,0.00462,0,0.0826,0.589,127.011,179147,4,2012,""High Energic"""
"293,""0vPixd58CoECEctjnL0EMN"",0.446,0.817,2,-4.159,1,0.0367,0.012,1.12e-05,0.255,0.243,80.033,177253,4,2012,""Energic"""
"294,""3sPei5H0zsPDVa6GIpyZ5E"",0.462,0.317,2,-8.373,0,0.0292,0.859,0,0.143,0.236,120.137,178867,3,2012,""Low Enerjic"""
"295,""4jugenbPVVIY9CQfkRW1hX"",0.493,0.945,2,-2.717,1,0.0432,0.0108,0,0.0781,0.5,143.868,185640,4,2012,""High Energic"""
"296,""4AKJSL7TqJ1JwSdTMm45ht"",0.354,0.445,5,-7.234,1,0.0323,0.204,8.98e-06,0.119,0.165,128.735,259000,4,2012,""Low Enerjic"""
"297,""0gbIrlLpSKnonxTfdWI3zA"",0.462,0.317,2,-8.373,0,0.0292,0.859,0,0.143,0.236,120.137,178867,3,2012,""Low Enerjic"""
"298,""4jugenbPVVIY9CQfkRW1hX"",0.493,0.945,2,-2.717,1,0.0432,0.0108,0,0.0781,0.5,143.868,185640,4,2012,""High Energic"""
"299,""4AKJSL7TqJ1JwSdTMm45ht"",0.354,0.445,5,-7.234,1,0.0323,0.204,8.98e-06,0.119,0.165,128.735,259000,4,2012,""Low Enerjic"""
"300,""3R3Zt8XnN8K405hzVtp3ar"",0.697,0.816,2,-5.578,0,0.0492,0.0455,0.00526,0.335,0.787,126.986,178469,4,2012,""Energic"""
"301,""3VoWhnc9XDZ8DZ0IdXkZ9b"",0.285,0.33,10,-5.148,0,0.0343,0.798,2.42e-05,0.109,0.0933,73.897,254272,3,2012,""Low Enerjic"""
"302,""1TonBlbQ3iuenXakzUMk8f"",0.874,0.82,0,-2.782,1,0.0388,0.0582,0,0.386,0.925,121.019,177627,4,2012,""Energic"""
"303,""4wDmhj6T4KfkbDuoOgFNyv"",0.382,0.347,9,-7.455,1,0.032,0.703,0,0.512,0.436,123.143,181320,4,2012,""Low Enerjic"""
"304,""0xoAiu5YBdCliff8Sk5EiW"",0.574,0.446,4,-7.106,1,0.0293,0.351,0,0.577,0.26,109.156,180400,4,2012,""Low Enerjic"""
"305,""1nDryTaJ4zNZ0cO2KbXlVO"",0.768,0.775,11,-5.304,0,0.146,0.199,4.58e-05,0.4,0.87,129.967,180333,4,2012,""Energic"""
"306,""6gy6rFnDhIv4gaiOrBJoFV"",0.578,0.856,11,-5.72,0,0.0386,0.00599,0,0.138,0.533,123.036,179547,4,2012,""Energic"""
"307,""5pRxKh2X1xB3A65ZopDQqm"",0.494,0.935,2,-2.737,1,0.0404,0.00945,0,0.109,0.459,143.926,180360,4,2012,""High Energic"""
"308,""4vFDTPkBAYJ2xDukQ0kBW3"",0.721,0.825,9,-2.92,1,0.0484,0.0695,0,0.214,0.675,131.044,181400,4,2012,""Energic"""
"309,""2kjTZx2AcLmi6tC85SDRsb"",0.548,0.699,10,-5.637,1,0.0309,0.0109,0,0.0847,0.13,107.957,205853,4,2012,""Low Enerjic"""
"310,""1pPzXurcBWcgcPtDqgeGUO"",0.601,0.607,5,-4.881,0,0.0327,0.125,0,0.0847,0.306,94.999,183773,4,2012,""Low Enerjic"""
"311,""7boE0PASxtCz9FB0FqyGO2"",0.19,0.315,5,-8.149,1,0.0362,0.256,0,0.0629,0.112,77.726,176893,4,2012,""Low Enerjic"""
"312,""4hA0zbkYfAYl6brTyPZc1l"",0.489,0.638,8,-5.326,1,0.0251,0.338,0,0.533,0.175,83.961,183347,4,2012,""Low Enerjic"""
"313,""1jkFhjJLzTIZYUszvEbvQR"",0.619,0.482,4,-9.102,0,0.0342,0.145,0.000543,0.122,0.318,86.899,178093,3,2012,""Low Enerjic"""
"314,""2BiTk2PPGcjipd6IJQ7GWe"",0.583,0.773,10,-4.873,1,0.0337,0.00498,0,0.122,0.751,136.939,182720,4,2012,""Energic"""
