"""id"",""danceability"",""energy"",""key"",""loudness"",""mode"",""speechiness"",""acousticness"",""instrumentalness"",""liveness"",""valence"",""tempo"",""duration_ms"",""time_signature"",""Y۱l"",""Enerjisi"""
"36,""5wre7EAHpqWGcAhlxaAZ5N"",0.7,0.76,0,-3.937,1,0.0448,0.0554,0,0.0998,0.487,100,223190,4,2018,""Low Enerjic"""
"37,""5ELRkzdzz0HvGpMDlfZHkV"",0.518,0.575,5,-4.616,1,0.0302,0.0259,0,0.109,0.209,120.019,340707,4,2018,""Low Enerjic"""
"38,""0kdFj5f27ulhcSXxzTGiCm"",0.625,0.854,1,-2.218,1,0.118,0.0598,0,0.0601,0.586,174.021,189667,4,2018,""Energic"""
"39,""0j5nC2FB0rrJLoD2dsMhkf"",0.549,0.723,1,-5.299,0,0.0301,0.0109,5.05e-05,0.138,0.0968,120.026,215507,4,2018,""Low Enerjic"""
"40,""5IA81a74SVyVzeMegkHjKs"",0.558,0.682,7,-7.006,1,0.138,0.259,2.32e-05,0.0742,0.397,129.895,258138,4,2018,""Low Enerjic"""
"41,""64Wy01fhZWBmjV41Hy3SFY"",0.563,0.778,11,-5.985,1,0.0448,0.18,0,0.556,0.539,140.233,176187,4,2018,""Energic"""
"42,""6vI1WRgs8UyK0bvN6XAOp8"",0.565,0.589,7,-8.782,1,0.0315,0.0223,0,0.279,0.752,73.517,208953,4,2018,""Low Enerjic"""
"43,""56IpyoLyX6sc3YKRtQKAp8"",0.303,0.776,9,-5.072,1,0.0645,0.0285,0,0.111,0.258,82.077,167800,4,2018,""Energic"""
"44,""7eDRWG0HDeP3XrB82TrbYm"",0.742,0.48,11,-6.917,0,0.0311,0.812,0,0.212,0.419,104.046,211947,4,2018,""Low Enerjic"""
"45,""3M1pbVM5P4RFtWW1w6DrJr"",0.731,0.682,2,-6.17,1,0.0358,0.766,8.61e-05,0.0819,0.208,130.036,273960,4,2018,""Low Enerjic"""
